file_id	chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21q	chr22q
11c9ecd3-a1ef-482d-a644-c2d294d0f150	0	1	0	0	unknown	unknown	unknown	unknown	unknown	-1	unknown	unknown	0	unknown	-1	1	0	unknown	0	0	unknown	0	0	unknown	unknown	unknown	unknown	0	0	-1	unknown	0	0	0	0	0	0	unknown	unknown
c24b8d96-4bb0-453b-b0a1-393049546774	-1	1	0	unknown	-1	unknown	-1	-1	0	0	0	0	-1	unknown	-1	unknown	0	0	-1	unknown	0	unknown	unknown	0	-1	-1	-1	0	0	-1	unknown	0	-1	unknown	unknown	unknown	1	unknown	-1
5015f577-de90-4573-a090-5165a610db0d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abddcd00-a83c-462d-9f85-d2ad0d0de185	1	1	-1	unknown	unknown	1	unknown	-1	1	1	-1	-1	1	0	-1	1	-1	-1	0	0	-1	-1	0	unknown	-1	-1	-1	1	-1	unknown	1	1	0	unknown	0	0	unknown	0	-1
37d8b595-f62f-454f-8e80-16073d34ce7e	unknown	1	0	0	0	0	0	0	1	0	unknown	-1	0	unknown	-1	1	0	0	0	0	0	unknown	unknown	0	0	0	-1	0	-1	-1	0	-1	0	-1	-1	0	0	0	-1
9718ca8c-d171-4d59-90bd-447e343a9b3d	0	0	0	0	0	0	0	0	1	1	0	0	0	0	-1	1	0	0	0	0	unknown	unknown	0	0	-1	0	0	1	-1	-1	1	1	1	0	0	1	1	0	0
834f9a5e-4fc9-4564-99a6-ef4abe6f5d46	unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unknown	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	-1
69b5fd53-ebfb-42a3-b687-b667cb57244c	unknown	1	0	0	unknown	0	0	0	0	0	1	-1	0	0	unknown	0	-1	-1	1	1	0	0	1	1	1	1	unknown	1	1	0	0	1	1	-1	0	1	1	1	unknown
467adf93-e42d-4c33-b41c-d15128dbd9c3	-1	unknown	-1	0	0	0	0	0	0	0	0	-1	0	0	1	1	-1	-1	unknown	0	0	0	0	0	-1	-1	0	unknown	-1	-1	1	-1	-1	0	0	-1	1	0	-1
00bc1305-bc2e-44d5-a36a-cf67cf388908	unknown	1	0	0	unknown	0	0	0	unknown	unknown	unknown	0	0	0	-1	0	0	0	unknown	unknown	unknown	-1	0	0	-1	unknown	0	1	-1	-1	unknown	0	0	0	unknown	unknown	1	0	unknown
